0,1
2021-12-13 23:44:19+00:00,@jimfarley98 Thanks
2021-12-13 22:21:51+00:00,Will also be important for Mars
2021-12-13 22:21:34+00:00,SpaceX is starting a program to take CO2 out of atmosphere &amp; turn it into rocket fuel. Please join if interested.
2021-12-13 22:08:18+00:00,@WholeMarsBlog Penalizing sustainable energy is insane
2021-12-13 21:27:38+00:00,@PPathole @HardcoreHistory I will ask Dan for some tips!
2021-12-13 20:43:15+00:00,"@HardcoreHistory Forgot to mention the Mosquito, which was arguably the most innovative airframe design"
2021-12-13 20:32:38+00:00,@TrungTPhan 🤣
2021-12-13 19:08:17+00:00,@kimbal Thanks bro
2021-12-13 18:55:24+00:00,@westcoastbill 🤣
2021-12-13 18:49:08+00:00,"@DOGEHOUNDS @HardcoreHistory Overall kill ratio was 19:1, but kill ratio against the Zero was 13:1"
2021-12-13 18:23:45+00:00,@HardcoreHistory Apologies for any errors in this podcast!
2021-12-13 16:36:55+00:00,@TIME Thank you!
2021-12-13 00:26:13+00:00,@DJSnM Interesting payload number
2021-12-12 22:25:09+00:00,https://t.co/KPQrN13zr9
2021-12-12 20:42:43+00:00,@BillyM2k True ♥️
2021-12-12 20:00:05+00:00,@szymon_kasprzyk She seems cool
2021-12-12 19:17:26+00:00,@Rainmaker1973 👾
2021-12-12 12:49:36+00:00,@ahmadtariq07 I was slightly aiming for that
2021-12-12 12:47:36+00:00,https://t.co/5LE1PjFwgS
2021-12-12 12:29:34+00:00,Sine qua non non https://t.co/iTBlSwiX53
2021-12-12 12:27:32+00:00,Sorry https://t.co/ppBPBAWxZ6
2021-12-12 11:51:12+00:00,@Neuro_Skeptic Does anything actually work?
2021-12-12 11:45:12+00:00,@PPathole @engineers_feed Literally
2021-12-12 11:43:50+00:00,@PPathole @engineers_feed martians911
2021-12-12 11:21:22+00:00,@28delayslater @RationalEtienne @balajis Yup
2021-12-12 11:01:00+00:00,@engineers_feed 🤣
2021-12-12 09:51:36+00:00,@HardcoreHistory I think I mentioned “octane” too much haha … but it was actually a big deal
2021-12-12 09:11:01+00:00,"@RationalEtienne @balajis Sonic, the Hedgehog, game coming to all Teslas!"
2021-12-12 03:44:29+00:00,Just did a @HardcoreHistory episode with Dan Carlin. Hope you like it.
2021-12-12 00:23:16+00:00,@teslaownersSV It takes 20 years (time from conception to adult) to reverse demographic trends
2021-12-11 20:33:36+00:00,@ItsGime @BillyM2k Maybe a little 😉
2021-12-11 20:20:16+00:00,@BillyM2k Sulla and the original Nero who was instrumental in defeating Hannibal are underrated
2021-12-11 20:12:56+00:00,"“No better friend, no worse enemy” https://t.co/e2TeRBiFbg"
2021-12-11 18:28:46+00:00,@Rainmaker1973 Real androids are coming
