,original text,clean text,sentiment,confidence
0,"Today, we are heartbroken to learn of the passing of a true servant of God and of the people, Archbishop Desmond Tu… https://t.co/BOripVzHkw",today heartbroken learn passing true servant god people archbishop desmond tu,NEGATIVE,82.28%
1,"As we begin the seven days of Kwanzaa, Jill and I send our best wishes to everyone celebrating. May this time of re… https://t.co/x3fGn7FelQ",begin seven day kwanzaa jill send best wish everyone celebrating may time,POSITIVE,85.26%
2,Congratulations @NASA and all who made today’s launch of the James Webb telescope possible. Webb is a shining examp… https://t.co/5n03vmXpzy,congratulation made today launch james webb telescope possible webb shining examp,POSITIVE,96.43%
3,Jill and I know how hard it is for our troops and their families to be apart during this season of togetherness. So… https://t.co/SuqgqTZLR0,jill know hard troop family apart season togetherness,NEGATIVE,63.36%
4,Join me as the First Lady and I meet virtually with service members to celebrate the holiday. https://t.co/cy4d0nYjxK,join first lady meet virtually service member celebrate holiday,POSITIVE,91.55%
5,"From our family to yours, Merry Christmas! May your time with loved ones be filled with warmth, comfort, and joy th… https://t.co/lFThkfLEOH",family merry christmas may time loved one filled warmth comfort joy th,POSITIVE,85.65%
6,"This morning, the First Lady and I stopped by the Children’s National Hospital to spread a little holiday cheer. We… https://t.co/mgNJE1Ih7H",morning first lady stopped child national hospital spread little holiday cheer,POSITIVE,75.8%
7,I had the honor of hosting the 2021 Kennedy Center Honorees this month at the White House. These folks are giants o… https://t.co/dc3OIJMXz2,honor hosting 2021 kennedy center honoree month white house folk giant,POSITIVE,84.98%
8,"Today, I signed the Accelerating Access to Critical Therapies for ALS Act. Thanks to a movement led by patients and… https://t.co/hDMulnowv3",today signed accelerating access critical therapy al act thanks movement led patient,POSITIVE,78.39%
9,Tune in as I sign the Accelerating Access to Critical Therapies for ALS Act into law. https://t.co/7DEkDFFb8l,tune sign accelerating access critical therapy al act law,POSITIVE,61.01%
10,"Today, I signed the bipartisan Uyghur Forced Labor Prevention Act. The United States will continue to use every too… https://t.co/GordxUqw9u",today signed bipartisan uyghur forced labor prevention act united state continue use every,POSITIVE,54.78%
11,"People with a booster shot are highly protected.
 
If it’s been six months since your second shot, get your booster shot today.",people booster shot highly protected six month since second shot get booster shot today,NEGATIVE,77.3%
12,"We should all be concerned about Omicron, but not panicked.

If you’re fully vaccinated — and especially if you got… https://t.co/lAbCJSUvmx",concerned omicron panicked fully vaccinated especially got,NEGATIVE,74.88%
13,"This morning, I brought together my Supply Chain Task Force and business leaders for another progress update. My Ad… https://t.co/lS4N0zT0CD",morning brought together supply chain task force business leader another progress update ad,POSITIVE,86.4%
14,We received good news today in our fight against COVID-19. The FDA granted emergency use authorization of the Pfize… https://t.co/kZizq1biVl,received good news today fight covid 19 fda granted emergency use authorization pfize,NEGATIVE,75.34%
15,"As we mark the 50th anniversary of the National Cancer Act, I call upon all Americans to reaffirm our commitment to… https://t.co/f0VLYTlAgO",mark 50th anniversary national cancer act call upon american reaffirm commitment,POSITIVE,70.76%
16,If you and those you celebrate with are vaccinated — particularly if you’ve been boosted — and follow the precautio… https://t.co/89dS4n1zog,celebrate vaccinated particularly boosted follow precautio,POSITIVE,92.99%
17,"Three weeks ago, I laid out our COVID-19 Action Plan for the winter that prepared us for this moment. Yesterday, I… https://t.co/428qJL95aP",three week ago laid covid 19 action plan winter prepared u moment yesterday,NEGATIVE,73.96%
18,"Today, I announced my Administration is extending the pause on federal student loan repayments for an additional 90… https://t.co/dHmZc16ehk",today announced administration extending pause federal student loan repayment additional 90,NEGATIVE,76.1%
19,My full statement: https://t.co/8Z5KFo3kGU,full statement,POSITIVE,76.38%
