,original text,clean text,sentiment,confidence
0,"@engineers_feed The resolution of the universe is not smaller than Planck length
https://t.co/hoyZR4d0pP",resolution universe smaller planck length,POSITIVE,75.86%
1,@karpathy All of reality can be simulated with ones &amp; zeroes,reality simulated one amp zero,NEGATIVE,70.53%
2,"@lexfridman Yeah, the smarter someone is, the harder it is to simulate/predict their behavior",yeah smarter someone harder simulate predict behavior,NEGATIVE,53.91%
3,"@BillyM2k Now that the Webb telescope has been launched, they will have to spend more on rendering haha",webb telescope launched spend rendering haha,POSITIVE,90.98%
4,"@BillyM2k It is simulations all the way down, until you get to one bit",simulation way get one bit,NEGATIVE,62.34%
5,"@PPathole People are able to break any laws made by humans, but none made by physics",people able break law made human none made physic,NEGATIVE,91.64%
6,Physics formulas are the rendering rules,physic formula rendering rule,NEGATIVE,58.73%
7,"So much of AI is about compressing reality to a small vector space, like a video game in reverse",much ai compressing reality small vector space like video game reverse,POSITIVE,68.32%
8,@stats_feed @engineers_feed Useful mass to orbit is what matters,useful mass orbit matter,POSITIVE,81.91%
9,@nichegamer 🤣,,POSITIVE,63.43%
10,@DimaZeniuk @klwtts @TeslaClubNorway @WholeMarsBlog @SawyerMerritt @1stMarsColonist @daelmor @Kristennetten… https://t.co/eFo3HD86vs,,POSITIVE,63.43%
11,https://t.co/Scr3Ub3tgT,,POSITIVE,63.43%
12,@archillect Now $1.25,1 25,POSITIVE,66.78%
13,"@NASA @NASAWebb Congratulations, this is major!",congratulation major,POSITIVE,94.78%
14,@WorldAndScience Me 💯,,POSITIVE,63.43%
15,Floki Santa https://t.co/y3CTq16bGi,floki santa,POSITIVE,59.68%
16,Merry Christmas 🎄🎁 ⛄️ ⭐️ 😃,merry christmas,POSITIVE,94.26%
17,@JonErlichman Or Tesla!,tesla,POSITIVE,79.32%
18,"Interesting
https://t.co/548FHpnnxU",interesting,POSITIVE,91.08%
19,@nichegamer It’s good,good,POSITIVE,84.45%
