,original text,clean text,sentiment,confidence
0,"@engineers_feed The resolution of the universe is not smaller than Planck length
https://t.co/hoyZR4d0pP",resolution universe smaller planck length,POSITIVE,75.86%
1,@karpathy All of reality can be simulated with ones &amp; zeroes,reality simulated one amp zero,NEGATIVE,70.53%
2,"@lexfridman Yeah, the smarter someone is, the harder it is to simulate/predict their behavior",yeah smarter someone harder simulate predict behavior,NEGATIVE,53.91%
3,"@BillyM2k Now that the Webb telescope has been launched, they will have to spend more on rendering haha",webb telescope launched spend rendering haha,POSITIVE,90.98%
4,"@BillyM2k It is simulations all the way down, until you get to one bit",simulation way get one bit,NEGATIVE,62.34%
5,"@PPathole People are able to break any laws made by humans, but none made by physics",people able break law made human none made physic,NEGATIVE,91.64%
6,Physics formulas are the rendering rules,physic formula rendering rule,NEGATIVE,58.73%
7,"So much of AI is about compressing reality to a small vector space, like a video game in reverse",much ai compressing reality small vector space like video game reverse,POSITIVE,68.32%
8,@stats_feed @engineers_feed Useful mass to orbit is what matters,useful mass orbit matter,POSITIVE,81.91%
9,@nichegamer 🤣,,POSITIVE,63.43%
10,@DimaZeniuk @klwtts @TeslaClubNorway @WholeMarsBlog @SawyerMerritt @1stMarsColonist @daelmor @Kristennetten… https://t.co/eFo3HD86vs,,POSITIVE,63.43%
11,https://t.co/Scr3Ub3tgT,,POSITIVE,63.43%
12,@archillect Now $1.25,1 25,POSITIVE,66.78%
13,"@NASA @NASAWebb Congratulations, this is major!",congratulation major,POSITIVE,94.78%
14,@WorldAndScience Me 💯,,POSITIVE,63.43%
15,Floki Santa https://t.co/y3CTq16bGi,floki santa,POSITIVE,59.68%
16,Merry Christmas 🎄🎁 ⛄️ ⭐️ 😃,merry christmas,POSITIVE,94.26%
17,@JonErlichman Or Tesla!,tesla,POSITIVE,79.32%
18,"Interesting
https://t.co/548FHpnnxU",interesting,POSITIVE,91.08%
19,@nichegamer It’s good,good,POSITIVE,84.45%
20,@PPathole @Tesla That was a crazy tough year. Tesla financing closed at 6pm Christmas Eve – last hour of the last d… https://t.co/rwM2zi1XfJ,crazy tough year tesla financing closed 6pm christmas eve last hour last,NEGATIVE,85.47%
21,@cyantist It was a shamefully low blow from WSJ,shamefully low blow wsj,NEGATIVE,89.89%
22,RT @Tesla: Complete list of features here. Happy holidays! → https://t.co/7DhUW0KUgO,rt complete list feature happy holiday,POSITIVE,94.34%
23,@WholeMarsBlog And many other things,many thing,NEGATIVE,69.93%
24,"@davidjkon @Tesmanian_com No, that’s some tool with senior editor privileges who keeps putting that there",tool senior editor privilege keep putting,NEGATIVE,58.03%
25,"@Tesmanian_com “History is written by the victors” except on Wikipedia, as your enemies are still alive &amp; have lots… https://t.co/2qmEDsVWxu",history written victor except wikipedia enemy still alive amp lot,POSITIVE,67.34%
26,@Tesmanian_com My wiki is such a dumpster fire 🤣🤣. That’s how you know it isn’t curated.,wiki dumpster fire know curated,POSITIVE,53.9%
27,@GerberKawasaki A lot will be added,lot added,POSITIVE,90.15%
28,Tesla holiday software update goes to wide release today!,tesla holiday software update go wide release today,NEGATIVE,69.96%
29,@WholeMarsBlog Tesla is technically a car like an iPhone is technically a phone,tesla technically car like iphone technically phone,POSITIVE,69.03%
30,"10.8 looks good, rolling out today",10 8 look good rolling today,POSITIVE,84.23%
31,@BLKMDL3 Good idea,good idea,POSITIVE,79.85%
32,@BillyM2k @jack @gladstein @rahilla @farokh @samkazemian @TheSmarmyBum @ethereum That’s why I’m pro Doge,pro doge,POSITIVE,74.4%
33,The @SkepticsGuide book is 👍,book,POSITIVE,78.31%
34,"Lots of Tesla cars to deliver before year end! Your support in taking delivery is much appreciated. 

Thanks also t… https://t.co/66GNmieWk1",lot tesla car deliver year end support taking delivery much appreciated thanks also,POSITIVE,86.94%
35,"@scottwww @realrobcopeland Yeah, I didn’t have a house in the Bay Area for over a decade, despite spending half the week there",yeah house bay area decade despite spending half week,POSITIVE,52.08%
36,"Whereas radar has trouble seeing small pedestrians, they’re obvious to Tesla vision https://t.co/ANUy58lgl7",whereas radar trouble seeing small pedestrian obvious tesla vision,POSITIVE,60.77%
37,@nurodev Disney restricted us to US only,disney restricted u u,NEGATIVE,57.61%
38,"@JeffTutorials Yes, but if we find unexpected bugs, release might be delayed until 24th",yes find unexpected bug release might delayed 24th,NEGATIVE,86.64%
39,@WillFealey Yes,yes,POSITIVE,82.35%
40,Tesla holiday software release being tested with internal owners today. Broader rollout starts tomorrow evening.,tesla holiday software release tested internal owner today broader rollout start tomorrow evening,POSITIVE,54.06%
41,"@WholeMarsBlog We’re aiming for a significant improvement for owners outside the US around March, depending on regulatory approvals",aiming significant improvement owner outside u around march depending regulatory approval,POSITIVE,84.65%
